"Code for class","Code for largest spot size","Code for spot distribution","Activity","Evolution","Previous 24 hour flare activity code","Historically-complex","Did region become historically complex on this pass across the sun's disk","Area","Area of the largest spot","C-class flares production by this region in the following 24 hours(common flares)","M-class flares production by this region in the following 24 hours(moderate flares)","X-class flares production by this region in the following 24 hours(severe flares)"
C,S,O,1,2,1,1,2,1,2,0,0,0
D,S,O,1,3,1,1,2,1,2,0,0,0
C,S,O,1,3,1,1,2,1,1,0,0,0
D,S,O,1,3,1,1,2,1,2,0,0,0
D,A,O,1,3,1,1,2,1,2,0,0,0
D,A,O,1,2,1,1,2,1,2,0,0,0
D,A,O,1,2,1,1,2,1,1,0,0,0
D,A,O,1,2,1,1,2,1,2,0,0,0
D,K,O,1,3,1,1,2,1,2,0,0,0
C,R,O,1,3,1,1,2,1,1,0,0,0
B,X,O,1,3,1,1,2,1,1,0,0,0
D,S,O,1,2,1,1,2,1,1,0,0,0
C,H,I,1,3,1,1,2,1,2,0,0,0
D,R,O,1,3,1,1,2,1,1,0,0,0
B,X,O,1,2,1,1,2,1,1,0,0,0
B,X,O,1,3,1,1,2,1,1,0,0,0
D,K,I,1,3,1,1,2,1,2,0,0,0
D,S,O,1,2,1,1,2,1,2,0,0,0
D,R,O,1,2,1,1,2,1,1,0,0,0
C,A,I,1,2,1,1,2,1,2,0,0,0
C,S,O,1,2,1,1,2,1,1,0,0,0
B,X,O,1,3,1,1,2,1,1,0,0,0
F,K,I,1,3,1,2,2,1,2,0,0,0
B,X,O,1,2,1,1,2,1,1,0,0,0
H,R,X,1,2,1,1,1,1,2,0,0,0
B,X,I,1,3,1,1,2,1,1,0,0,0
C,R,I,1,3,1,1,2,1,2,0,0,0
B,X,O,1,3,1,1,2,1,1,0,0,0
B,X,O,1,3,1,1,2,1,2,0,0,0
D,A,I,1,3,1,2,2,1,2,0,0,0
D,A,O,1,3,1,1,2,1,2,1,0,1
B,X,O,1,3,1,1,2,1,1,0,0,0
D,A,I,1,3,1,1,2,1,2,0,0,0
B,X,O,1,3,1,1,2,1,2,0,0,0
D,R,O,1,3,1,1,2,1,2,0,0,0
D,A,O,1,2,1,1,2,1,1,0,0,0
C,A,I,1,3,1,1,2,1,1,0,0,0
D,A,I,1,2,1,2,2,1,1,1,0,0
D,A,I,2,2,3,1,2,1,2,0,0,0
D,A,I,1,2,1,2,2,1,2,0,0,0
B,X,O,1,3,1,1,2,1,1,0,0,0
D,R,O,1,1,1,1,2,1,1,0,0,0
D,A,I,1,2,1,1,2,1,1,0,0,0
D,S,O,1,1,1,1,2,1,1,0,0,0
D,S,I,1,3,1,1,2,1,1,0,0,0
D,A,I,1,3,1,2,2,1,2,2,1,0
D,A,I,2,3,1,2,2,1,1,0,0,0
D,A,I,1,2,1,2,2,1,1,0,0,0
B,X,O,1,2,1,1,2,1,1,0,0,0
D,S,O,1,3,1,2,2,1,2,0,0,0
D,S,O,1,3,1,1,2,1,1,0,0,0
B,X,O,1,3,1,1,2,1,1,0,0,0
D,A,O,1,3,1,2,2,1,2,0,0,0
D,K,C,2,3,1,2,2,1,2,1,1,0
D,A,I,1,3,1,2,2,1,2,0,0,0
B,X,O,1,3,1,1,2,1,1,0,0,0
D,A,O,1,3,1,2,2,1,2,0,0,0
D,S,I,1,3,1,1,2,1,1,0,0,0
D,K,C,1,2,1,1,2,1,2,0,0,0
D,A,I,1,2,1,1,2,1,2,0,0,0
B,X,O,1,3,1,1,2,1,1,0,0,0
D,S,O,1,2,1,2,2,1,2,0,0,0
D,K,C,2,3,3,2,2,1,2,1,2,1
E,K,I,2,3,1,2,2,1,2,0,0,0
D,S,I,1,3,1,2,2,1,2,1,0,0
C,S,O,1,2,1,2,2,1,2,0,0,0
D,S,I,1,3,1,2,2,1,2,0,0,0
H,H,X,1,2,1,2,2,1,1,1,0,0
D,S,I,1,3,1,2,2,1,2,0,0,0
B,X,O,1,3,1,1,2,1,1,0,0,0
B,X,O,1,3,1,1,2,1,1,0,0,0
C,R,O,1,3,1,1,2,1,1,0,0,0
H,S,X,1,2,1,1,1,1,2,0,0,0
D,A,O,1,2,1,2,2,1,2,0,0,0
D,K,C,2,2,3,2,2,1,2,0,0,0
D,K,I,1,3,1,2,2,1,2,0,2,1
D,S,I,1,2,1,2,2,1,1,0,1,0
C,A,O,1,2,1,2,2,1,2,0,0,0
D,S,O,1,1,1,2,2,1,2,0,0,0
H,S,X,1,3,1,2,2,1,2,0,0,0
D,K,I,1,3,1,2,2,1,2,0,0,0
H,R,X,1,2,1,1,2,1,2,0,0,0
B,X,O,1,2,1,1,2,1,1,0,0,0
H,S,X,1,3,1,1,1,1,2,0,0,0
C,S,O,1,1,1,2,2,1,2,0,0,0
D,K,C,2,2,3,2,2,1,2,0,0,0
D,A,I,1,2,1,2,2,1,2,0,0,0
C,S,O,2,2,1,2,2,1,1,0,0,0
C,S,O,1,2,1,2,2,1,2,0,0,0
C,S,O,1,2,1,2,2,1,2,0,0,0
C,S,O,2,3,1,2,2,1,2,0,0,0
D,K,I,1,3,1,2,2,1,2,0,1,0
H,R,X,1,2,1,1,2,1,2,0,0,0
H,S,X,1,3,1,1,1,1,2,0,0,0
C,S,O,1,2,1,1,2,1,2,1,0,0
C,K,O,1,2,3,2,2,1,2,0,0,0
C,S,O,1,1,3,2,2,1,2,0,0,0
C,S,O,1,1,1,2,2,1,2,0,0,0
C,K,I,1,3,1,2,2,1,2,0,0,0
E,A,C,1,3,1,2,2,1,2,0,0,0
H,R,X,1,2,1,1,2,1,2,0,0,0
H,S,X,1,2,1,1,1,1,2,0,0,0
H,R,X,1,2,1,1,2,1,2,0,0,0
H,S,X,2,2,1,1,2,1,2,0,0,0
B,X,O,1,3,1,1,2,1,2,0,0,0
C,S,I,1,2,1,2,2,1,2,0,0,0
H,S,X,1,1,1,2,2,1,2,0,0,1
D,K,C,1,3,3,2,2,1,2,0,1,0
D,A,I,2,2,3,2,2,1,2,0,0,0
H,S,X,1,2,1,1,2,1,2,0,0,0
B,X,O,1,2,1,1,2,1,1,0,0,0
C,S,I,2,3,3,1,2,1,1,0,1,0
C,S,O,1,1,1,1,2,1,2,0,1,0
H,K,X,2,2,3,2,2,1,2,0,0,0
D,K,I,1,3,1,2,2,1,2,0,0,0
H,A,X,1,3,1,1,2,1,2,0,0,0
C,R,O,1,1,1,1,2,1,2,0,0,0
C,R,O,1,3,1,1,2,1,2,0,0,0
B,X,O,1,3,1,1,2,1,1,0,0,0
B,X,O,1,3,1,1,2,1,1,1,0,0
H,K,X,1,3,1,2,2,1,2,0,0,0
C,K,I,1,3,1,2,2,1,2,0,0,0
H,S,X,1,2,1,1,2,1,2,0,0,0
B,X,O,1,3,1,1,2,1,1,0,0,0
C,R,I,2,3,3,1,2,1,2,0,0,0
H,R,X,1,2,3,1,2,1,2,0,0,0
B,X,O,1,3,1,1,2,1,1,0,0,0
D,R,O,1,3,1,1,2,1,2,0,0,0
H,K,X,1,2,1,2,2,1,2,0,0,0
D,K,I,1,2,1,2,2,1,2,0,0,0
H,H,X,1,3,1,1,2,1,2,0,0,0
B,X,I,1,3,1,1,2,1,1,0,0,0
B,X,O,1,3,1,1,2,1,1,0,0,0
B,X,I,1,3,1,1,2,1,1,0,0,0
D,R,O,2,2,1,1,2,1,2,1,0,0
H,A,X,1,3,1,2,2,1,2,0,0,0
C,K,O,1,2,1,2,2,1,2,0,0,0
H,S,X,1,2,1,1,2,1,2,0,0,0
B,X,O,1,2,1,1,2,1,1,0,0,0
B,X,O,1,2,1,1,2,1,1,1,0,0
C,R,O,1,3,1,1,2,1,1,0,0,0
B,X,I,1,3,1,1,2,1,1,0,0,0
C,A,O,1,3,1,2,2,1,2,0,0,0
C,K,I,1,2,1,2,2,1,2,0,0,0
H,S,X,1,2,1,1,2,1,2,0,0,0
D,S,I,1,3,1,1,2,1,1,0,0,0
B,X,O,1,2,1,1,2,1,1,0,0,0
B,X,O,2,2,1,1,2,1,1,0,0,0
H,S,X,1,2,1,1,1,1,2,0,0,0
H,A,X,1,3,1,1,2,1,2,0,0,0
C,K,I,1,3,1,2,2,1,2,2,4,0
B,X,O,1,3,1,1,2,1,2,0,0,0
H,S,X,1,3,1,1,1,1,2,0,0,0
C,S,O,1,3,1,1,2,1,2,0,1,0
C,A,I,1,3,1,1,2,1,2,0,0,0
H,S,X,1,3,1,1,1,1,2,0,0,0
D,S,O,1,3,1,1,2,1,2,1,0,0
C,S,O,1,2,3,2,2,1,2,0,0,0
B,X,O,1,2,1,1,2,1,1,0,0,0
H,S,X,1,2,1,1,1,1,2,0,0,0
C,S,O,1,3,1,1,2,1,2,0,0,0
C,S,O,1,3,1,1,2,1,2,0,0,0
H,A,X,1,3,1,1,1,1,2,2,0,0
B,X,O,2,1,1,1,2,1,1,1,0,0
H,R,X,1,2,1,1,1,1,2,0,0,0
C,S,O,2,2,1,2,2,1,2,0,1,0
H,S,X,1,3,1,1,1,1,2,0,0,0
H,S,X,2,2,3,1,2,1,2,0,0,0
C,S,O,1,2,1,1,2,1,2,0,0,0
C,A,I,1,3,1,1,2,1,2,0,0,0
E,S,I,1,3,1,1,2,1,2,0,2,0
B,X,O,1,2,1,1,2,1,1,0,0,0
D,S,O,1,2,1,1,2,1,2,1,0,0
C,S,O,1,1,1,2,2,1,2,0,0,0
C,S,O,1,2,1,1,2,1,2,0,0,0
H,S,X,1,1,1,1,2,1,2,0,0,0
C,S,O,1,2,1,1,2,1,2,0,0,0
C,S,I,2,2,1,1,2,1,2,0,0,0
D,S,O,1,2,1,2,2,1,2,2,4,0
D,S,O,1,3,1,1,2,1,2,1,0,0
B,X,O,1,3,1,1,2,1,2,0,0,0
C,A,O,1,3,1,1,2,1,2,0,0,0
C,S,O,1,3,1,1,2,1,2,0,0,0
C,R,I,1,3,1,1,2,1,2,0,0,0
B,X,O,1,2,3,2,2,1,2,0,0,0
B,X,I,2,3,1,1,2,1,2,1,0,0
D,H,O,1,2,1,1,2,1,2,0,0,0
H,S,X,1,1,1,1,2,1,2,0,0,0
H,R,X,1,2,1,1,2,1,2,0,0,0
H,A,X,1,2,1,1,2,1,2,0,0,0
C,R,I,1,2,1,1,2,1,2,0,0,0
C,R,O,2,1,1,1,2,1,2,0,0,0
D,K,O,1,3,1,1,2,1,2,1,0,0
D,R,O,1,2,1,1,2,1,2,0,0,0
H,S,X,1,2,1,1,2,1,2,0,0,0
B,X,O,1,2,1,1,2,1,1,0,0,0
B,X,I,1,3,1,1,2,1,2,0,0,0
B,X,O,1,3,1,1,2,1,1,0,0,0
C,S,O,1,3,1,1,2,1,2,1,1,0
D,A,I,1,3,1,1,2,1,2,0,0,0
B,X,O,1,3,1,1,2,1,2,0,1,0
B,X,O,1,2,1,1,2,1,2,0,0,0
B,X,I,1,3,1,1,2,1,1,0,0,0
B,X,I,1,3,1,1,2,1,1,0,0,0
D,A,I,1,3,1,1,2,1,2,0,0,0
C,H,I,2,3,1,1,2,1,2,0,0,0
D,K,O,1,3,1,2,2,1,2,2,0,0
B,X,O,1,3,1,1,2,1,2,1,0,0
C,K,I,1,3,1,1,2,1,1,0,0,0
C,A,O,1,2,1,1,2,1,2,0,0,0
